opbranch,route_code,route_short_name,route_long_name,route_type,route_color,route_text_color
1,Ech,,Melbourne - Echuca/Moama Via Bendigo or Heathcote,2,8F1A95,FFFFFF
1,Sht,,Shepparton - Melbourne Via Seymour,2,8F1A95,FFFFFF
1,V01,,Melbourne - Albury Via Seymour,2,8F1A95,FFFFFF
1,V04,,Ararat - Melbourne Via Ballarat,2,8F1A95,FFFFFF
1,V05,,Ballarat - Melbourne Via Melton,2,8F1A95,FFFFFF
1,V08,,Melbourne - Bairnsdale Via Sale & Traralgon,2,8F1A95,FFFFFF
1,V12,,Melbourne - Bendigo Via Sunbury,2,8F1A95,FFFFFF
1,V23,,Geelong - Melbourne Via Geelong,2,8F1A95,FFFFFF
1,V40,,Melbourne - Seymour Via Broadmeadows,2,8F1A95,FFFFFF
1,V45,,Melbourne - Swan Hill Via Bendigo,2,8F1A95,FFFFFF
1,V48,,"Traralgon - Melbourne Via Pakenham, Moe & Morwell",2,8F1A95,FFFFFF
1,V51,,Warrnambool - Melbourne Via Geelong & Colac,2,8F1A95,FFFFFF
1,my1,,Melbourne - Maryborough Via Ballarat,2,8F1A95,FFFFFF
1,vPK,Pakenham,Pakenham - City Via Pakenham,2,8F1A95,FFFFFF
10,GSR,Overland,Melbourne - Adelaide,2,0,FFFFFF
11,SK4,,Frankston - Melbourne Airport,3,ED1C24,FFFFFF
11,SKY,,City - Melbourne Airport,3,ED1C24,FFFFFF
2,ALM,Alamein,Alamein - City (Flinders Street),2,152C6B,FFFFFF
2,B31,Craigieburn,Craigieburn - City (Flinders Street),2,FFBE00,000000
2,BEL,Belgrave,Belgrave - City (Flinders Street),2,152C6B,FFFFFF
2,CRB,Cranbourne,Cranbourne - City (Flinders Street),2,279FD5,000000
2,FKN,Frankston,Frankston - City (Flinders Street),2,028430,FFFFFF
2,GLW,Glen Waverley,Glen Waverley - City (Flinders Street),2,152C6B,FFFFFF
2,HBG,Hurstbridge,Hurstbridge - City (Flinders Street),2,BE1014,FFFFFF
2,LIL,Lilydale,Lilydale - City (Flinders Street),2,152C6B,FFFFFF
2,MER,Mernda,Mernda - City (Flinders Street),2,BE1014,FFFFFF
2,PKM,Pakenham,Pakenham - City (Flinders Street),2,279FD5,000000
2,SDM,Sandringham,Sandringham - City (Flinders Street),2,F178AF,000000
2,SPT,Stony Point,Stony Point - Frankston,2,028430,FFFFFF
2,SYM,Sunbury,Sunbury - City (Flinders Street),2,FFBE00,000000
2,UFD,Upfield,Upfield - City (Flinders Street),2,FFBE00,000000
2,WBE,Werribee,Werribee - City (Flinders Street),2,028430,FFFFFF
2,WMN,Williamstown,Williamstown - City (Flinders Street),2,028430,FFFFFF
2,ain,Flemington,Showgrounds/Flemington - Flinders Street,2,95979A,000000
3,1,1,South Melbourne Beach - East Coburg,0,B5BD00,000000
3,109,109,Port Melbourne - Box Hill,0,E87722,000000
3,11,11,Victoria Harbour Docklands - West Preston,0,6ECEB2,000000
3,12,12,St Kilda (Fitzroy St) - Victoria Gardens,0,007E92,FFFFFF
3,16,16,Melbourne University - Kew via St Kilda Beach,0,FBD872,000000
3,19,19,"Flinders Street Station, City - North Coburg",0,8A1B61,FFFFFF
3,3,3,Melbourne University - East Malvern,0,8DC8E8,000000
3,30,30,Central Pier Docklands - St Vincents Plaza,0,534F96,FFFFFF
3,35,35,Clockwise - Clockwise,0,6B3529,FFFFFF
3,48,48,Victoria Harbour Docklands - North Balwyn,0,333434,FFFFFF
3,5,5,Melbourne University - Malvern (Burke Road),0,D50032,FFFFFF
3,57,57,"Flinders Street Station, City - West Maribyrnong",0,00C1D5,000000
3,58,58,Toorak - West Coburg,0,969696,FFFFFF
3,59,59,"Flinders Street Station, City - Airport West",0,00653A,FFFFFF
3,6,6,Moreland - Glen Iris,0,01426A,FFFFFF
3,64,64,Melbourne University - East Brighton,0,00AB8E,FFFFFF
3,67,67,Melbourne University - Carnegie,0,956C58,FFFFFF
3,70,70,Waterfront City Docklands - Wattle Park,0,F59BBB,000000
3,72,72,Melbourne University - Camberwell,0,9ABEAA,000000
3,75,75,Central Pier Docklands - Vermont South,0,00A9E0,000000
3,78,78,Balaclava via Prahran - North Richmond,0,A0A0D6,000000
3,82,82,Moonee Ponds - Footscray,0,D2D755,000000
3,86,86,Waterfront City Docklands - Bundoora RMIT,0,FFB500,000000
3,96,96,St Kilda Beach - East Brunswick,0,C6007E,FFFFFF
4,150,150,Tarneit Station - Williams Landing Station,3,FF8200,FFFFFF
4,151,151,Tarneit Station - Williams Landing Station,3,FF8200,FFFFFF
4,152,152,Williams Landing Station - Tarneit Station,3,FF8200,FFFFFF
4,153,153,Werribee Station - Williams Landing Station,3,FF8200,FFFFFF
4,160,160,Hoppers Crossing Station - Tarneit Station,3,FF8200,FFFFFF
4,161,161,Werribee Station - Hoppers Crossing Station,3,FF8200,FFFFFF
4,166,166,Wyndham Vale Station - Hoppers Crossing Station,3,FF8200,FFFFFF
4,167,167,Hoppers Crossing Station - Tarneit Station,3,FF8200,FFFFFF
4,170,170,Werribee Station - Tarneit Station,3,FF8200,FFFFFF
4,180,180,Werribee Station - Tarneit Station,3,FF8200,FFFFFF
4,181,181,Werribee Station - Hoppers Crossing Station,3,FF8200,FFFFFF
4,182,182,Werribee Railway Station - Tarneit Station,3,FF8200,FFFFFF
4,190,190,Wyndham Vale Station - Werribee Station,3,FF8200,FFFFFF
4,191,191,Manor Lakes - Werribee Station,3,FF8200,FFFFFF
4,192,192,Wyndham Vale Station - Werribee Station,3,FF8200,FFFFFF
4,200,200,Bulleen - City (Queen St),3,FF8200,FFFFFF
4,201,201,Box Hill Station - Deakin University,3,FF8200,FFFFFF
4,202,202,Yarra Bend - Melbourne University,3,FF8200,FFFFFF
4,207,207,Doncaster SC - City (Queen St),3,FF8200,FFFFFF
4,215,215,Caroline Springs - Highpoint SC,3,FF8200,FFFFFF
4,216,216,Sunshine Station - City (Queen St),3,FF8200,FFFFFF
4,220,220,Sunshine Station - Sunshine Station,3,FF8200,FFFFFF
4,223,223,Yarraville - Highpoint SC,3,FF8200,FFFFFF
4,232,232,Altona North - City (Queen Victoria Market),3,FF8200,FFFFFF
4,234,234,Garden City - City (Queen Victoria Market),3,FF8200,FFFFFF
4,235,235,Fishermans Bend - City (Queen Victoria Market),3,FF8200,FFFFFF
4,236,236,Garden City - City (Queen Victoria Market),3,FF8200,FFFFFF
4,237,237,Fishermans Bend - City (Queen Victoria Market),3,FF8200,FFFFFF
4,246,246,Elsternwick - Clifton Hill,3,FF8200,FFFFFF
4,250,250,La Trobe University - City (Queen St),3,FF8200,FFFFFF
4,251,251,Northland SC - City (Queen St),3,FF8200,FFFFFF
4,270,270,Mitcham - Box Hill,3,FF8200,FFFFFF
4,271,271,Ringwood - Box Hill,3,FF8200,FFFFFF
4,273,273,The Pines SC - Nunawading Station,3,FF8200,FFFFFF
4,279,279,Doncaster SC/Templestowe - Box Hill,3,FF8200,FFFFFF
4,280,280,The Pines SC,3,FF8200,FFFFFF
4,281,281,Deakin University - Templestowe,3,FF8200,FFFFFF
4,282,282,The Pines SC,3,FF8200,FFFFFF
4,284,284,Doncaster Park & Ride - Box Hill,3,FF8200,FFFFFF
4,285,285,Camberwell SC - Doncaster Park & Ride,3,FF8200,FFFFFF
4,293,293,Greensborough - Box Hill,3,FF8200,FFFFFF
4,295,295,The Pines SC - Doncaster SC,3,FF8200,FFFFFF
4,301,301,Reservoir - La Trobe University,3,FF8200,FFFFFF
4,301A,301SB,,3,FF8200,FFFFFF
4,302,302,Box Hill Station - City (Lonsdale St),3,FF8200,FFFFFF
4,303,303,Ringwood North - City (Queen St),3,FF8200,FFFFFF
4,304,304,Doncaster SC - City (Lonsdale St),3,FF8200,FFFFFF
4,305,305,The Pines - City (King/Lonsdale Sts),3,FF8200,FFFFFF
4,309,309,Donvale - City (Queen St),3,FF8200,FFFFFF
4,318,318,Deep Creek - City (King/Lonsdale Sts),3,FF8200,FFFFFF
4,343,343,Hurstbridge - Greensborough,3,FF8200,FFFFFF
4,350,350,La Trobe University - City (Queen St),3,FF8200,FFFFFF
4,356,356,Wollert East - Epping Station,3,FF8200,FFFFFF
4,357,357,Wollert West - Thomastown Station,3,FF8200,FFFFFF
4,358,358,Wollert - Epping Station,3,FF8200,FFFFFF
4,364,364,Warrandyte - Ringwood Station,3,FF8200,FFFFFF
4,370,370,Ringwood - Mitcham,3,FF8200,FFFFFF
4,380,380,Ringwood Loop - Ringwood Loop,3,FF8200,FFFFFF
4,381,381,Diamond Creek Station - Mernda Station,3,FF8200,FFFFFF
4,382,382,Whittlesea - Northland SC,3,FF8200,FFFFFF
4,383,383,Palisades - University Hill,3,FF8200,FFFFFF
4,384,384,Kinglake - Whittlesea,3,FF8200,FFFFFF
4,385,385,Mernda Station/Whittlesea - Greensborough,3,FF8200,FFFFFF
4,386,386,Mernda Station - Bundoora RMIT,3,FF8200,FFFFFF
4,387,387,Mernda Station - Bundoora RMIT,3,FF8200,FFFFFF
4,388,388,Mernda Station,3,FF8200,FFFFFF
4,389,389,Mernda Station,3,FF8200,FFFFFF
4,390,390,Mernda Station - Craigieburn Station,3,FF8200,FFFFFF
4,400,400,Laverton Station - Sunshine Station,3,FF8200,FFFFFF
4,401,401,North Melbourne Station - University of Melbourne,3,FF8200,FFFFFF
4,402,402,Footscray - East Melbourne,3,FF8200,FFFFFF
4,403,403,Footscray Station - Melbourne University,3,FF8200,FFFFFF
4,404,404,Footscray Station - Moonee Ponds,3,FF8200,FFFFFF
4,406,406,Keilor East - Footscray,3,FF8200,FFFFFF
4,407,407,Avondale Heights - Highpoint SC,3,FF8200,FFFFFF
4,408,408,Highpoint SC - St Albans Station,3,FF8200,FFFFFF
4,409,409,Highpoint SC - Yarraville,3,FF8200,FFFFFF
4,410,410,Sunshine Station - Footscray,3,FF8200,FFFFFF
4,411,411,Laverton Station - Footscray,3,FF8200,FFFFFF
4,412,412,Laverton Station - Footscray,3,FF8200,FFFFFF
4,414,414,Laverton Station - Footscray,3,FF8200,FFFFFF
4,415,415,Laverton Station - Williamstown,3,FF8200,FFFFFF
4,417,417,Laverton North - Laverton Station,3,FF8200,FFFFFF
4,418,418,Caroline Springs - St Albans Station,3,FF8200,FFFFFF
4,419,419,Watergardens Station - St Albans Station,3,FF8200,FFFFFF
4,420,420,Watergardens Station - Sunshine Station,3,FF8200,FFFFFF
4,421,421,Watergardens Station - St Albans Station,3,FF8200,FFFFFF
4,422,422,Brimbank Central SC - Sunshine Station,3,FF8200,FFFFFF
4,423,423,Brimbank Central SC - St Albans Station,3,FF8200,FFFFFF
4,424,424,Brimbank Central SC - St Albans Station,3,FF8200,FFFFFF
4,425,425,Watergardens Station - St Albans Station,3,FF8200,FFFFFF
4,426,426,Caroline Springs - Sunshine Station,3,FF8200,FFFFFF
4,427,427,Sunshine West - Sunshine Station,3,FF8200,FFFFFF
4,428,428,Sunshine West - Sunshine Station,3,FF8200,FFFFFF
4,429,429,Sunshine Station,3,FF8200,FFFFFF
4,431,431,Kingsville - Yarraville,3,FF8200,FFFFFF
4,432,432,Yarraville - Newport,3,FF8200,FFFFFF
4,439,439,Werribee South - Werribee Station,3,FF8200,FFFFFF
4,441,441,Westleigh Gardens - Werribee Station,3,FF8200,FFFFFF
4,443,443,Werribee Station (anti-clockwise) - Werribee Station (clockwise),3,FF8200,FFFFFF
4,444,444,Aintree - Rockbank,3,FF8200,FFFFFF
4,453,453,Melton - Melton Station,3,FF8200,FFFFFF
4,454,454,Cobblebank Station - Melton Station,3,FF8200,FFFFFF
4,455,455,Micasa Rise - Melton Station,3,FF8200,FFFFFF
4,456,456,Sunshine Station - Melton,3,FF8200,FFFFFF
4,457,457,Melton - Melton Station,3,FF8200,FFFFFF
4,458,458,Kurunjang - Melton Station,3,FF8200,FFFFFF
4,459,459,Arnolds Creek - Melton Station,3,FF8200,FFFFFF
4,460,460,Caroline Springs Station - Watergardens Railway Station,3,FF8200,FFFFFF
4,461,461,Caroline Springs - Watergardens Station,3,FF8200,FFFFFF
4,462,462,Caroline Springs - Watergardens,3,FF8200,FFFFFF
4,463,463,Hillside - Watergardens,3,FF8200,FFFFFF
4,465,465,Keilor Park - Essendon Station,3,FF8200,FFFFFF
4,467,467,Aberfeldie - Moonee Ponds Station,3,FF8200,FFFFFF
4,468,468,Highpoint SC - Essendon,3,FF8200,FFFFFF
4,469,469,Keilor East - Moonee Ponds,3,FF8200,FFFFFF
4,471,471,Williamstown - Sunshine Station,3,FF8200,FFFFFF
4,472,472,Moonee Ponds - Williamstown,3,FF8200,FFFFFF
4,476,476,Watergardens - Moonee Ponds,3,FF8200,FFFFFF
4,477,477,Broadmeadows Station - Moonee Ponds,3,FF8200,FFFFFF
4,478,478,Melbourne Airport - Airport West SC,3,FF8200,FFFFFF
4,479,479,Sunbury Station - Airport West SC,3,FF8200,FFFFFF
4,481,481,Mount Lion - Sunbury,3,FF8200,FFFFFF
4,482,482,Melbourne Airport - Airport West SC,3,FF8200,FFFFFF
4,483,483,Moonee Ponds - Sunbury,3,FF8200,FFFFFF
